Year,Month,Day,Time,ARRESTAGENCY,Charge_Desc,MINUCRCODE,MINCHARGECODE,MAIN_CRIMECODE,GDISTRICT,BRICArrestCode,GREPORTING,,,,,,,,,,,,
2017,2,7,49:00.0,Boston Police Department,Assault & Battery (209A),0623,12314,,A7,06xx,022,,,,,,,,,,,,
2017,2,8,20:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,B3,04xx,464,,,,,,,,,,,,
2017,2,8,42:00.0,Boston Police Department,Violation of an Existing Restraining Order,0802,12312,,D4,08xx,171,,,,,,,,,,,,
2017,2,8,44:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,565,,,,,,,,,,,,
2017,2,8,00:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,B2,Arrest,302,,,,,,,,,,,,
2017,2,8,19:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,C11,Arrest,253,,,,,,,,,,,,
2017,2,9,59:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A7,08xx,019,,,,,,,,,,,,
2017,2,9,18:00.0,Boston Police Department,Assault & Battery (209A),0635,12314,,D4,06MV,621,,,,,,,,,,,,
2017,2,9,12:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E18,08xx,501,,,,,,,,,,,,
2017,2,9,10:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,C11,04xx,397,,,,,,,,,,,,
2017,2,10,52:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,A7,Arrest,030,,,,,,,,,,,,
2017,2,10,46:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,C11,Arrest,348,,,,,,,,,,,,
2017,2,10,02:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,448,,,,,,,,,,,,
2017,2,11,05:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,427,,,,,,,,,,,,
2017,2,11,31:00.0,Boston Police Department,Assault & Battery (209A),0403,12314,,E18,04xx,496,,,,,,,,,,,,
2017,2,11,31:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,B3,04xx,463,,,,,,,,,,,,
2017,2,11,37:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,E13,04xx,906,,,,,,,,,,,,
2017,2,12,05:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E13,08xx,572,,,,,,,,,,,,
2017,2,12,16:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E5,08xx,716,,,,,,,,,,,,
2017,2,12,36:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,D14,04xx,788,,,,,,,,,,,,
2017,2,12,57:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,B2,04xx,316,,,,,,,,,,,,
2017,2,12,12:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E18,08xx,512,,,,,,,,,,,,
2017,2,12,40:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E18,08xx,519,,,,,,,,,,,,
2017,2,13,36:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A1,08xx,077,,,,,,,,,,,,
2017,2,13,26:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,328,,,,,,,,,,,,
2017,2,13,27:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,417,,,,,,,,,,,,
2017,2,13,24:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E18,08xx,547,,,,,,,,,,,,
2017,2,13,32:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,472,,,,,,,,,,,,
2017,2,14,11:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,366,,,,,,,,,,,,
2017,2,14,44:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,D4,08xx,156,,,,,,,,,,,,
2017,2,14,10:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,D4,08xx,903,,,,,,,,,,,,
2017,2,14,48:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,C6,Arrest,915,,,,,,,,,,,,
2017,2,14,29:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,B2,04xx,,,,,,,,,,,,,
2017,2,15,02:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,305,,,,,,,,,,,,
2017,2,15,07:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C6,08xx,914,,,,,,,,,,,,
2017,2,15,42:00.0,Boston Police Department,Violation of an Existing Restraining Order,0520,12312,,E18,05RB,957,,,,,,,,,,,,
2017,2,16,57:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A1,08xx,123,,,,,,,,,,,,
2017,2,16,25:00.0,Boston Police Department,Violation of an Existing Restraining Order,0802,12312,,B3,08xx,432,,,,,,,,,,,,
2017,2,16,10:00.0,Boston Police Department,Violation of an Existing Restraining Order,1401,12312,,B2,14xx,258,,,,,,,,,,,,
2017,2,16,58:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A7,08xx,035,,,,,,,,,,,,
2017,2,17,17:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,B2,04xx,901,,,,,,,,,,,,
2017,2,17,11:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A7,08xx,010,,,,,,,,,,,,
2017,2,17,50:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,D4,08xx,172,,,,,,,,,,,,
2017,2,18,01:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,E13,04xx,644,,,,,,,,,,,,
2017,2,18,24:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,C11,04xx,,,,,,,,,,,,,
2017,2,18,22:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,,,,,,,,,,,,,
2017,2,18,13:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A7,08xx,010,,,,,,,,,,,,
2017,2,18,29:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A7,08xx,026,,,,,,,,,,,,
2017,2,19,59:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E18,08xx,483,,,,,,,,,,,,
2017,2,19,46:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,E13,04xx,579,,,,,,,,,,,,
2017,2,19,06:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,435,,,,,,,,,,,,
2017,2,20,10:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,432,,,,,,,,,,,,
2017,2,20,55:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,E13,04xx,303,,,,,,,,,,,,
2017,2,21,01:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,476,,,,,,,,,,,,
2017,2,21,53:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,,,,,,,,,,,,,
2017,2,21,58:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,,,,,,,,,,,,,
2017,2,21,15:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,266,,,,,,,,,,,,
2017,2,21,54:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E18,08xx,,,,,,,,,,,,,
2017,2,21,46:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,C6,04xx,216,,,,,,,,,,,,
2017,2,22,37:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A1,08xx,,,,,,,,,,,,,
2017,2,22,38:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,B3,04xx,473,,,,,,,,,,,,
2017,2,23,47:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,B2,04xx,294,,,,,,,,,,,,
2017,2,23,00:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C6,08xx,915,,,,,,,,,,,,
2017,2,24,04:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,B3,Arrest,418,,,,,,,,,,,,
2017,2,24,31:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,D4,08xx,273,,,,,,,,,,,,
2017,2,24,04:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,425,,,,,,,,,,,,
2017,2,24,55:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,451,,,,,,,,,,,,
2017,2,24,02:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,C11,04xx,402,,,,,,,,,,,,
2017,2,25,39:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,319,,,,,,,,,,,,
2017,2,25,01:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,304,,,,,,,,,,,,
